Entry,Side,Exit,PF,R2,Stag_Active,Trades,OER,UI,Health,Monkey,Monkey_OOS,XS_IS,XS_OOS
mfi_8_sft >= -9.51|roc_120_sft <= -3.91,LONG,SINTETICA_REVERSE,26.08,0.9948,1591,97,1.0506,4.3626,1.5583,100.0,96.4,0.7397,0.7986
stoch_34_sft <= 9.3,LONG,SINTETICA_REVERSE,5.06,0.9588,822,241,0.8897,2.9258,0.9507,100.0,90.0,0.5953,0.6352
mom_24_sft <= 0.01396|mom_120_sft <= -0.03868,LONG,SINTETICA_REVERSE,27.053,0.9926,1469,106,0.9748,4.3279,1.4566,100.0,93.7,0.7395,0.7679
willr_120_sft <= Close_sft|cci_24_sft <= -144.976379|hour_sft >= 16.0,LONG,SINTETICA_REVERSE,3.375,0.9658,2137,184,1.0854,1.1227,0.3858,100.0,98.2,0.5901,0.6419
mom_120_sft <= -0.03868|roc_120_sft <= 1.618074|mfi_21_sft <= 59.071575,LONG,SINTETICA_REVERSE,31.19,0.9922,1537,119,0.9326,4.3716,1.4044,100.0,95.5,0.7302,0.7827
linreg_120_sft <= -0.000231|aroon_21_sft <= ema_21_sft,LONG,SINTETICA_REVERSE,22.052,0.9922,1362,93,1.5337,3.0355,1.5683,100.0,90.6,0.6764,0.7688
rsi_200_sft >= -4.05|roc_120_sft <= -3.342182,LONG,SINTETICA_REVERSE,28.664,0.9901,1112,117,0.7955,5.3226,1.5472,100.0,92.6,0.7366,0.7189
mfi_21_sft <= 59.071575|cmo_55_sft <= -5.16|roc_120_sft <= -3.342182,LONG,SINTETICA_REVERSE,35.398,0.992,1537,106,1.0198,3.2697,1.1388,100.0,95.6,0.73,0.7278
roc_144_sft <= -0.150765|mom_120_sft >= 0.01816,SHORT,Ret_12,8.225,0.9919,679,99,1.2996,2.8574,1.3976,100.0,92.9,0.7456,0.8059
mom_8_sft >= -6.81|roc_120_sft >= 2.05|cmo_48_sft >= 9.187442,SHORT,SINTETICA_REVERSE,38.485,0.9916,658,135,0.8667,3.4509,1.171,100.0,90.9,0.7137,0.7211
dow_sft <= 5.0|willr_120_sft <= -50.777798|willr_34_sft >= -15.448543,LONG,Ret_12,3.549,0.9405,2153,79,1.2924,0.9485,0.3725,99.7,91.2,0.5356,0.6583
mom_120_sft >= 0.03876|mfi_5_sft >= 70.142014,SHORT,Ret_12,14.618,0.9914,1862,84,0.9641,3.2528,1.0487,100.0,92.2,0.7611,0.7435
mfi_8_sft >= 19.147154|mom_120_sft <= -0.03868,LONG,SINTETICA_REVERSE,19.01,0.9914,1801,129,0.9546,4.7092,1.5113,100.0,94.1,0.7012,0.7321
