Entry,Side,Exit,PF,R2,Stag_Active,Trades,OER,UI,Health,Monkey,Monkey_OOS,XS_IS,XS_OOS
stoch_5_sft <= 47.87537|stoch_120_sft <= 7.435756|cci_55_sft >= -147.826569,LONG,Ret_24,41.165,0.9686,1724,79,1.0791,4.0035,1.4116,100.0,94.2,0.7925,0.7038
stoch_24_sft <= 8.67,LONG,SINTETICA_REVERSE,2.599,0.9209,1834,294,1.7625,2.4433,1.2832,100.0,90.0,0.5646,0.6825
stoch_24_sft <= 8.84,LONG,SINTETICA_REVERSE,2.547,0.9322,1834,293,1.7524,2.4234,1.2815,100.0,90.0,0.5637,0.6815
stoch_24_sft <= 8.84|willr_24_sft <= -15.986311,LONG,SINTETICA_REVERSE,2.547,0.9322,1834,293,1.7524,2.4234,1.2815,100.0,90.0,0.5637,0.6815
stoch_24_sft <= 8.86,LONG,SINTETICA_REVERSE,2.548,0.9324,1834,293,1.7506,2.4251,1.2814,100.0,90.0,0.5636,0.6821
stoch_24_sft <= 8.88,LONG,SINTETICA_REVERSE,2.55,0.9319,1834,294,1.7511,2.4257,1.2813,100.0,90.0,0.5646,0.6821
stoch_24_sft <= 8.87,LONG,SINTETICA_REVERSE,2.549,0.9325,1834,293,1.7462,2.4246,1.2781,100.0,90.0,0.5627,0.6821
willr_34_sft <= -15.448543|stoch_24_sft <= 8.69,LONG,SINTETICA_REVERSE,2.594,0.921,1834,292,1.7556,2.4385,1.2761,100.0,90.0,0.5635,0.6825
stoch_48_sft >= 8.51|willr_144_sft <= -91.178513,LONG,Ret_12,22.53,0.9619,1507,79,1.5596,2.5162,1.2627,100.0,91.9,0.7343,0.806
stoch_24_sft <= 8.5|willr_144_sft <= -3.07,LONG,SINTETICA_REVERSE,2.625,0.9203,1834,289,1.7041,2.4457,1.2434,100.0,90.0,0.5701,0.6778
stoch_24_sft <= 8.47|willr_21_sft <= -15.774648,LONG,SINTETICA_REVERSE,2.625,0.9203,1834,288,1.6995,2.4444,1.2396,100.0,90.0,0.5716,0.6778
cci_55_sft <= 70.300186|stoch_24_sft <= 8.47,LONG,SINTETICA_REVERSE,2.627,0.9203,1834,288,1.6975,2.4465,1.2392,100.0,90.0,0.5717,0.6778
stoch_120_sft >= -8.89|stoch_24_sft <= 8.36,LONG,SINTETICA_REVERSE,2.685,0.9221,1834,288,1.6792,2.4653,1.2384,100.0,90.7,0.5732,0.6777
stoch_24_sft <= 8.45,LONG,SINTETICA_REVERSE,2.651,0.9209,1834,288,1.6877,2.4563,1.2383,100.0,90.0,0.5716,0.6778
stoch_24_sft <= 8.39,LONG,SINTETICA_REVERSE,2.686,0.9221,1834,288,1.6763,2.4685,1.2381,100.0,90.7,0.5739,0.6756
stoch_24_sft <= 8.37,LONG,SINTETICA_REVERSE,2.688,0.9223,1834,288,1.6737,2.4689,1.2368,100.0,90.7,0.5732,0.6756
stoch_21_sft <= 46.167664|stoch_24_sft <= 8.38,LONG,SINTETICA_REVERSE,2.684,0.9221,1834,288,1.6755,2.4652,1.2358,100.0,90.7,0.5736,0.6756
stoch_5_sft >= Close_sft|stoch_24_sft <= 8.88,LONG,SINTETICA_REVERSE,2.485,0.9315,2121,299,1.7158,2.3914,1.2152,100.0,90.9,0.5637,0.6765
stoch_34_sft <= 8.38|stoch_24_sft <= 15.267533|willr_55_sft <= -17.200895,LONG,SINTETICA_REVERSE,4.915,0.9611,1498,245,1.2391,2.9512,1.195,100.0,90.0,0.5798,0.6868
cci_48_sft <= 4.454145|stoch_24_sft <= 8.34,LONG,SINTETICA_REVERSE,2.762,0.9289,1834,276,1.5779,2.4998,1.193,100.0,90.7,0.5803,0.6777
stoch_24_sft <= 8.18|cci_13_sft <= Close_sft,LONG,SINTETICA_REVERSE,2.615,0.9151,2217,293,1.6873,2.4238,1.1841,100.0,91.4,0.5778,0.6706
willr_5_sft <= 4.78|stoch_24_sft <= 8.26,LONG,SINTETICA_REVERSE,2.56,0.9084,2217,288,1.7192,2.3972,1.1834,100.0,90.7,0.5719,0.6773
stoch_24_sft <= 8.05,LONG,SINTETICA_REVERSE,2.568,0.9092,1834,285,1.6742,2.3945,1.1827,100.0,90.7,0.5747,0.6569
stoch_24_sft <= 8.24,LONG,SINTETICA_REVERSE,2.56,0.9084,2217,288,1.7164,2.3958,1.1808,100.0,90.7,0.5719,0.6739
cci_48_sft >= -144.876724|cci_5_sft <= Close_sft|willr_144_sft <= -91.178513,LONG,Ret_24,41.613,0.9458,1039,76,0.8878,3.7964,1.1742,100.0,91.0,0.772,0.855
cci_89_sft <= 57.505901|stoch_21_sft <= 8.77,LONG,SINTETICA_REVERSE,2.735,0.8854,2216,300,1.621,2.5653,1.1677,100.0,90.9,0.5746,0.6544
stoch_24_sft <= 8.25|cci_21_sft <= 3.01,LONG,SINTETICA_REVERSE,2.557,0.9085,2217,288,1.6905,2.391,1.1618,100.0,91.4,0.5716,0.6681
stoch_34_sft <= 7.88,LONG,SINTETICA_REVERSE,4.583,0.9468,1471,241,1.2753,2.8184,1.1575,100.0,90.4,0.5759,0.6604
hour_sft >= 0.0|stoch_34_sft <= 7.89,LONG,SINTETICA_REVERSE,4.579,0.9464,1471,241,1.2765,2.8166,1.1572,100.0,90.4,0.5759,0.6604
stoch_34_sft <= 7.89,LONG,SINTETICA_REVERSE,4.579,0.9464,1471,241,1.2765,2.8166,1.1572,100.0,90.4,0.5759,0.6604
