Entry,Side,Exit,PF,R2,Stag_Active,Trades,OER,UI,Health,Monkey,Monkey_OOS,XS_IS,XS_OOS
roc_120_sft <= -2.92,LONG,SINTETICA_REVERSE,24.564,0.9898,474,156,1.3303,5.7304,3.0216,100.0,90.9,0.6959,0.7692
roc_120_sft <= -2.91,LONG,SINTETICA_REVERSE,26.772,0.9914,477,155,1.3148,5.7501,3.0011,100.0,90.9,0.6947,0.7692
roc_120_sft <= -2.77|force_55_sft <= 31.711349|rsi_5_sft >= Close_sft,LONG,SINTETICA_REVERSE,17.161,0.978,478,171,1.4067,5.2158,2.859,100.0,90.6,0.6819,0.7763
rsi_13_sft >= -2.67|roc_120_sft <= -2.71|mfi_8_sft <= 78.982826,LONG,SINTETICA_REVERSE,18.421,0.9893,476,186,1.1809,5.3048,2.5021,100.0,91.4,0.6763,0.7614
roc_120_sft <= -3.12,LONG,SINTETICA_REVERSE,26.012,0.9888,1112,139,1.1499,5.5764,2.2597,100.0,92.0,0.7421,0.8212
mom_34_sft <= -0.01698|roc_120_sft <= -2.68,LONG,SINTETICA_REVERSE,37.045,0.9772,761,106,1.7404,3.5647,2.2206,100.0,95.0,0.7172,0.8764
rsi_89_sft >= 5.63|roc_120_sft <= -3.02|cmo_5_sft <= 40.019527,LONG,SINTETICA_REVERSE,17.816,0.9806,855,162,1.321,4.4542,2.1132,100.0,93.8,0.7025,0.8247
force_55_sft <= 12.787823|roc_120_sft <= -3.03,LONG,SINTETICA_REVERSE,14.193,0.9841,1112,148,1.3719,4.4253,2.1017,100.0,93.0,0.6904,0.8655
force_55_sft <= 31.711349|force_144_sft <= 7.39|roc_120_sft <= -3.17,LONG,SINTETICA_REVERSE,16.687,0.9867,1537,130,1.3359,4.6004,2.0434,100.0,93.3,0.7222,0.8097
mom_13_sft >= -0.03201|force_55_sft <= 12.787823|mom_120_sft <= -0.03868,LONG,Ret_24,12.562,0.9779,1638,80,1.5946,3.888,2.0028,100.0,91.1,0.8096,0.9272
roc_200_sft <= -2.157084|mom_120_sft <= -0.01699,LONG,SINTETICA_REVERSE,33.858,0.9772,765,141,1.4357,3.6764,1.9094,100.0,92.4,0.6621,0.7491
roc_120_sft <= -2.74|force_34_sft <= Close_sft,LONG,SINTETICA_REVERSE,17.682,0.9861,478,160,1.218,3.9336,1.9017,100.0,93.3,0.6872,0.7687
mom_120_sft <= -0.01699|force_120_sft >= -9.966253,LONG,SINTETICA_REVERSE,7.961,0.983,519,204,1.1345,4.1935,1.8685,100.0,91.3,0.6172,0.6618
mom_5_sft >= -0.00482|mom_120_sft <= -0.03868,LONG,Ret_12,12.716,0.9789,1494,102,1.285,4.3684,1.864,100.0,91.8,0.7265,0.8566
mom_120_sft <= -0.03868|roc_5_sft >= -0.42721,LONG,Ret_12,14.078,0.9796,1494,101,1.283,4.3408,1.8508,100.0,91.8,0.7295,0.8566
mom_120_sft <= -0.01699|roc_144_sft >= -1.695299,LONG,SINTETICA_REVERSE,8.276,0.9748,780,213,1.3795,3.7071,1.8451,100.0,90.1,0.5962,0.6844
mom_89_sft <= -0.02119|mom_55_sft <= -0.0201,LONG,SINTETICA_REVERSE,30.573,0.9644,760,129,1.3725,3.6707,1.8058,100.0,90.0,0.6576,0.7351
force_200_sft >= -8.108467|mom_120_sft <= -0.01699,LONG,SINTETICA_REVERSE,8.275,0.9757,653,199,1.196,4.0266,1.8046,100.0,91.4,0.6094,0.6619
force_5_sft >= -36.815929|roc_5_sft >= -0.42721|mom_120_sft <= -0.03868,LONG,Ret_12,18.496,0.9762,1862,96,1.3434,4.1244,1.7759,100.0,94.2,0.7489,0.8642
force_120_sft >= -9.966253|roc_120_sft <= -1.507078,LONG,SINTETICA_REVERSE,8.152,0.9783,519,197,1.0576,4.1888,1.7418,100.0,90.8,0.6224,0.6652
roc_120_sft <= -3.49,LONG,SINTETICA_REVERSE,27.077,0.9901,1537,116,1.0067,4.9996,1.7176,100.0,93.7,0.7228,0.7861
mfi_144_sft <= 49.030098|mom_120_sft <= -0.01699,LONG,SINTETICA_REVERSE,9.701,0.9884,759,179,1.4337,3.2556,1.7101,100.0,90.6,0.656,0.7255
mom_120_sft <= -0.03868|mom_8_sft >= -0.00699,LONG,Ret_12,17.994,0.984,1727,84,1.224,4.2087,1.6925,100.0,92.4,0.7762,0.8694
mom_55_sft <= 0.05665|mom_120_sft <= -0.03868,LONG,SINTETICA_REVERSE,26.164,0.989,1469,113,0.9531,5.1313,1.6858,100.0,94.6,0.7457,0.7842
mom_120_sft <= -0.03868|roc_34_sft <= 4.797623,LONG,SINTETICA_REVERSE,25.875,0.9895,1469,111,0.9504,5.0891,1.6686,100.0,94.6,0.7413,0.7842
roc_120_sft <= -1.507078|force_89_sft >= -11.601439,LONG,SINTETICA_REVERSE,6.367,0.9796,544,203,1.0932,3.9141,1.6675,100.0,91.6,0.6171,0.631
force_120_sft <= 8.73|mom_120_sft <= -0.03868|mom_120_sft <= Close_sft,LONG,SINTETICA_REVERSE,16.96,0.9843,1469,115,1.1292,4.36,1.6642,100.0,93.7,0.7296,0.7744
mom_120_sft <= -0.03868|mom_34_sft <= 0.05308,LONG,SINTETICA_REVERSE,25.875,0.9895,1469,111,0.9471,5.0852,1.6621,100.0,94.6,0.7413,0.7842
mom_120_sft <= -0.03868|cmo_144_sft <= 7.023585,LONG,SINTETICA_REVERSE,25.571,0.9893,1469,110,0.9535,5.0407,1.6571,100.0,94.6,0.7396,0.7842
roc_120_sft <= -3.3,LONG,SINTETICA_REVERSE,27.488,0.9877,1112,119,0.8395,5.4345,1.6534,100.0,92.6,0.7425,0.7763
mfi_13_sft >= Close_sft|mom_120_sft <= -0.03868,LONG,SINTETICA_REVERSE,25.439,0.989,1469,116,0.9272,5.152,1.6511,100.0,93.9,0.7363,0.7603
mom_120_sft <= -0.03868|cmo_120_sft <= 9.05,LONG,SINTETICA_REVERSE,25.571,0.9893,1469,110,0.9501,5.0368,1.6506,100.0,94.6,0.7396,0.7842
rsi_89_sft <= 49.844425|roc_120_sft <= -3.26,LONG,SINTETICA_REVERSE,24.513,0.9877,858,106,0.9574,4.6357,1.6476,100.0,93.8,0.7329,0.805
roc_120_sft <= -3.41,LONG,SINTETICA_REVERSE,29.017,0.9888,1537,117,0.9118,5.2498,1.6468,100.0,93.8,0.7336,0.76
roc_120_sft <= -3.47,LONG,SINTETICA_REVERSE,28.159,0.9909,1537,114,0.9503,5.0354,1.6431,100.0,93.8,0.7266,0.7638
roc_120_sft <= -3.32,LONG,SINTETICA_REVERSE,28.881,0.9894,1112,117,0.8344,5.4104,1.6399,100.0,92.5,0.7362,0.735
mom_120_sft <= -0.03868|mfi_5_sft >= Close_sft,LONG,SINTETICA_REVERSE,19.996,0.9864,1967,130,1.006,4.9515,1.6389,100.0,93.8,0.6977,0.732
mom_120_sft <= -0.03868,LONG,SINTETICA_REVERSE,26.235,0.9892,1469,115,0.9136,5.1767,1.6374,100.0,93.9,0.7464,0.7603
mom_34_sft <= Close_sft|mom_120_sft <= -0.03868,LONG,SINTETICA_REVERSE,26.235,0.9892,1469,115,0.9136,5.1767,1.6374,100.0,93.9,0.7464,0.7603
mfi_21_sft >= Close_sft|mom_120_sft <= -0.03868,LONG,SINTETICA_REVERSE,26.235,0.9892,1469,115,0.9136,5.1767,1.6374,100.0,93.9,0.7464,0.7603
mom_34_sft >= -4.9|mom_120_sft <= -0.03868,LONG,SINTETICA_REVERSE,26.235,0.9892,1469,115,0.9136,5.1767,1.6374,100.0,93.9,0.7464,0.7603
mom_120_sft <= -0.03868|mfi_144_sft >= Close_sft,LONG,SINTETICA_REVERSE,26.235,0.9892,1469,115,0.9136,5.1767,1.6374,100.0,93.9,0.7464,0.7603
mom_120_sft <= -0.03868|rsi_34_sft >= Close_sft,LONG,SINTETICA_REVERSE,26.235,0.9892,1469,115,0.9136,5.1767,1.6374,100.0,93.9,0.7464,0.7603
mom_120_sft <= -0.03868|mom_144_sft <= Close_sft,LONG,SINTETICA_REVERSE,26.235,0.9892,1469,115,0.9136,5.1767,1.6374,100.0,93.9,0.7464,0.7603
mom_120_sft <= -0.03868|rsi_89_sft >= Close_sft,LONG,SINTETICA_REVERSE,26.235,0.9892,1469,115,0.9136,5.1767,1.6374,100.0,93.9,0.7464,0.7603
mom_120_sft <= -0.03868|rsi_144_sft >= Close_sft,LONG,SINTETICA_REVERSE,26.235,0.9892,1469,115,0.9136,5.1767,1.6374,100.0,93.9,0.7464,0.7603
mom_5_sft <= Close_sft|mom_120_sft <= -0.03868,LONG,SINTETICA_REVERSE,26.235,0.9892,1469,115,0.9136,5.1767,1.6374,100.0,93.9,0.7464,0.7603
mom_55_sft <= 5.33|mom_120_sft <= -0.03868,LONG,SINTETICA_REVERSE,26.235,0.9892,1469,115,0.9136,5.1767,1.6374,100.0,93.9,0.7464,0.7603
