Entry,Side,Exit,PF,R2,Stag_Active,Trades,OER,UI,Health,Monkey,Monkey_OOS,XS_IS,XS_OOS
trix_5_sft <= ema_144_sft|linreg_34_sft <= -0.000563|linreg_120_sft <= -3e-06,LONG,SINTETICA_REVERSE,62.422,0.9795,663,77,1.6301,3.7033,2.2192,100.0,90.3,0.7436,0.9296
aroon_120_sft <= -16.666666|adx_89_sft >= -9.72|efficiency_89_sft >= 0.184314,LONG,SINTETICA_REVERSE,12.695,0.9574,1484,131,2.0,3.4128,2.1615,100.0,93.9,0.6542,0.7926
trix_89_sft <= 0.014626|minus_di_200_sft >= 33.609528|slope_144_sft <= 0.110148,LONG,SINTETICA_REVERSE,9.713,0.9233,1161,138,2.0,3.2293,2.0404,100.0,92.4,0.6037,0.7959
minus_di_200_sft >= 33.609528|linreg_21_sft <= 0.002189,LONG,SINTETICA_REVERSE,8.589,0.9582,1161,146,2.0,3.1113,2.0402,100.0,90.0,0.6097,0.7754
adx_144_sft >= 3.534339|slope_144_sft <= -0.118455|trix_13_sft <= 0.042846,LONG,SINTETICA_REVERSE,53.984,0.9709,1466,86,1.9591,3.232,2.0389,100.0,93.0,0.6943,0.9011
plus_di_89_sft <= 28.797562|aroon_120_sft <= -16.666666,LONG,SINTETICA_REVERSE,42.128,0.9459,944,129,1.3763,4.2982,2.0145,100.0,92.4,0.7703,0.8307
slope_144_sft <= -0.118455|aroon_48_sft <= -2.89|ema_8_sft <= 1.175877,LONG,SINTETICA_REVERSE,52.317,0.9718,1475,87,1.9107,3.2504,2.0026,100.0,93.8,0.6867,0.8921
ema_21_sft <= 1.198318|slope_144_sft <= -0.118455,LONG,SINTETICA_REVERSE,46.954,0.9712,1465,87,1.9109,3.2408,1.9973,100.0,93.8,0.6813,0.9032
ema_8_sft <= 1.175877|slope_144_sft <= -0.118455,LONG,SINTETICA_REVERSE,47.084,0.9709,1465,87,1.9055,3.2474,1.9955,100.0,93.8,0.6821,0.9032
minus_di_55_sft >= 39.365353|macdh_89_sft <= 0.001172,LONG,SINTETICA_REVERSE,25.308,0.9631,792,105,2.0,2.8102,1.9571,100.0,92.9,0.6786,0.8413
slope_55_sft <= 0.095442|minus_di_55_sft >= 39.365353,LONG,SINTETICA_REVERSE,24.185,0.9628,884,105,2.0,2.8048,1.9216,100.0,92.9,0.6709,0.8413
minus_di_200_sft >= 33.609528|linreg_24_sft <= 0.000589,LONG,SINTETICA_REVERSE,8.603,0.9493,1161,144,2.0,2.9518,1.9177,100.0,90.7,0.6172,0.7785
aroon_120_sft <= -9.63|trix_13_sft <= -0.043862,LONG,SINTETICA_REVERSE,91.968,0.98,397,81,1.1656,4.0176,1.9095,100.0,90.7,0.7936,0.8878
minus_di_55_sft >= 39.365353|linreg_34_sft <= -2.2e-05|minus_di_48_sft >= 35.455795,LONG,SINTETICA_REVERSE,25.411,0.9635,939,100,1.9825,2.7797,1.8733,100.0,93.8,0.6774,0.8417
linreg_34_sft <= -2.2e-05|minus_di_55_sft >= 39.365353,LONG,SINTETICA_REVERSE,25.411,0.9635,939,100,1.9825,2.7797,1.8733,100.0,93.8,0.6774,0.8417
minus_di_55_sft >= 39.365353|macdh_89_sft <= 1.2e-05,LONG,SINTETICA_REVERSE,27.457,0.9652,1198,103,2.0,2.8195,1.8542,100.0,92.9,0.6733,0.8726
minus_di_89_sft >= 37.040524|adx_144_sft >= 3.534339|macdh_8_sft <= 5.77,LONG,SINTETICA_REVERSE,33.072,0.974,1321,90,1.8933,2.9733,1.8476,100.0,93.8,0.6856,0.8647
minus_di_55_sft >= 39.365353|efficiency_34_sft >= 0.040214,LONG,SINTETICA_REVERSE,26.483,0.965,1199,105,2.0,2.8081,1.846,100.0,92.9,0.675,0.8413
linreg_144_sft <= 0.00033|minus_di_55_sft >= 39.365353,LONG,SINTETICA_REVERSE,36.436,0.9709,799,95,1.9423,2.6516,1.8082,100.0,95.4,0.6884,0.8837
linreg_48_sft <= -0.000472|slope_144_sft <= -0.118455,LONG,SINTETICA_REVERSE,110.071,0.9761,2255,79,1.9288,3.0572,1.8045,100.0,94.1,0.7057,0.8384
adx_200_sft <= 5.252654|macdh_200_sft <= -0.000243,LONG,SINTETICA_REVERSE,14.562,0.9848,1182,119,1.4995,3.5095,1.7971,100.0,90.7,0.6735,0.8216
minus_di_55_sft >= 39.365353|minus_di_144_sft >= 33.824123,LONG,SINTETICA_REVERSE,23.383,0.9628,1321,101,2.0,2.7729,1.7946,100.0,93.8,0.6651,0.8382
