Entry,Side,Exit,PF,R2,Stag_Active,Trades,OER,UI,Health,Monkey,Monkey_OOS,XS_IS,XS_OOS
natr_200_sft >= 0.5|bbw_89_sft <= 0.157986,LONG,Ret_24,3.031,0.9095,3607,77,2.0,2.1851,1.1729,100.0,92.6,0.617,0.8204
vol_z_200_sft <= -0.281068|natr_34_sft >= 0.392421,LONG,Ret_24,2.584,0.9546,3547,87,2.0,1.7472,0.9863,100.0,94.2,0.5739,0.8077
vol_z_200_sft <= -0.281068|natr_34_sft >= 0.392421|vol_z_144_sft <= 3.92,LONG,Ret_24,2.584,0.9546,3547,87,2.0,1.7472,0.9863,100.0,94.2,0.5739,0.8077
natr_48_sft >= 0.399513|vol_z_21_sft >= Close_sft,LONG,SINTETICA_REVERSE,2.125,0.9199,3421,250,2.0,1.4606,0.7981,99.8,92.8,0.5325,0.587
natr_55_sft >= 0.400427|vol_z_120_sft <= -0.075898,LONG,SINTETICA_REVERSE,2.426,0.9246,3691,117,1.9829,1.4706,0.7937,99.9,92.6,0.5635,0.6438
natr_34_sft >= 0.392421|vol_z_24_sft >= -1.664541|vol_z_13_sft >= 0.631048,LONG,SINTETICA_REVERSE,1.979,0.891,2763,356,2.0,1.445,0.7853,99.9,90.6,0.5244,0.5549
vol_z_13_sft >= 0.631048|natr_34_sft >= 0.392421,LONG,SINTETICA_REVERSE,1.979,0.891,2763,356,2.0,1.445,0.7853,99.9,90.6,0.5244,0.5549
vol_z_200_sft <= -0.281068|natr_21_sft >= 0.378429|vol_z_89_sft <= 1.722489,LONG,SINTETICA_REVERSE,2.442,0.9586,2073,130,1.9981,1.2812,0.7764,100.0,98.9,0.5552,0.64
natr_21_sft >= 0.378429|vol_z_200_sft <= -0.281068|natr_34_sft >= 0.251013,LONG,SINTETICA_REVERSE,2.541,0.9654,2073,128,1.9372,1.2983,0.7694,100.0,98.9,0.5419,0.64
vol_z_200_sft <= -0.281068|vol_z_144_sft <= Close_sft|natr_21_sft >= 0.378429,LONG,SINTETICA_REVERSE,2.541,0.9654,2073,128,1.9372,1.2983,0.7694,100.0,98.9,0.5419,0.64
natr_48_sft >= 0.399513|vol_z_13_sft >= 0.55|std_200_sft >= 0.02817,LONG,SINTETICA_REVERSE,2.294,0.8967,3127,247,2.0,1.4184,0.7639,99.9,93.1,0.5431,0.5156
natr_48_sft >= 0.399513|vol_z_120_sft <= -0.075898,LONG,SINTETICA_REVERSE,2.27,0.9123,3695,112,1.9332,1.4134,0.7346,100.0,93.5,0.5496,0.6429
vol_z_120_sft <= -0.075898|std_8_sft >= 0.001566|natr_24_sft >= 0.382885,LONG,SINTETICA_REVERSE,2.087,0.8117,3394,139,2.0,1.4608,0.705,99.9,97.4,0.5711,0.698
vol_z_21_sft >= 0.73186|bbw_120_sft >= 0.094253,LONG,SINTETICA_REVERSE,1.891,0.8151,3604,185,2.0,1.4588,0.7018,99.2,92.6,0.5406,0.6133
std_5_sft <= 0.003716|vol_z_13_sft >= 0.631048|natr_24_sft >= 0.382885,LONG,SINTETICA_REVERSE,1.989,0.8521,2763,144,2.0,1.3324,0.6925,100.0,97.5,0.5703,0.6339
vol_z_120_sft <= -0.075898|natr_24_sft >= 0.382885,LONG,SINTETICA_REVERSE,1.997,0.8234,3571,121,2.0,1.4098,0.6859,99.9,97.4,0.5531,0.7032
natr_34_sft >= 0.392421|vol_z_200_sft <= -0.51,LONG,Ret_12,2.93,0.9073,3008,89,2.0,1.2116,0.6634,100.0,97.9,0.5667,0.7665
vol_z_21_sft >= Close_sft|natr_21_sft >= 0.378429,LONG,SINTETICA_REVERSE,1.617,0.7934,3421,304,2.0,1.357,0.6395,99.0,90.0,0.5177,0.5752
bbw_34_sft <= Close_sft|vol_z_21_sft >= Close_sft|natr_21_sft >= 0.378429,LONG,SINTETICA_REVERSE,1.617,0.7934,3421,304,2.0,1.357,0.6395,99.0,90.0,0.5177,0.5752
vol_z_21_sft >= 0.73186|natr_120_sft >= 0.486268,LONG,SINTETICA_REVERSE,2.942,0.963,3364,129,2.0,1.0718,0.6143,99.9,95.7,0.5267,0.6702
vol_z_21_sft >= Close_sft|bbw_120_sft >= 0.094253|natr_48_sft >= 0.261609,LONG,SINTETICA_REVERSE,2.17,0.7892,3538,188,2.0,1.2485,0.5829,99.9,95.3,0.5363,0.5642
vol_z_200_sft <= -0.281068|bbw_48_sft <= 0.153562|natr_24_sft >= 0.382885,LONG,SINTETICA_REVERSE,2.803,0.9245,2067,114,1.6555,1.1397,0.5575,100.0,98.9,0.5365,0.5676
vol_z_89_sft <= -0.044423|natr_24_sft >= 0.382885,LONG,SINTETICA_REVERSE,2.387,0.889,2846,106,1.688,1.1912,0.5479,99.9,94.2,0.5328,0.5969
natr_120_sft >= 0.411048|vol_z_21_sft >= 0.73186|vol_z_89_sft <= 1.064504,LONG,SINTETICA_REVERSE,2.357,0.8879,3418,98,2.0,1.0144,0.5351,99.5,95.8,0.5392,0.5607
vol_z_24_sft >= 1.678476|natr_55_sft >= 0.400427,LONG,SINTETICA_REVERSE,3.545,0.8293,3251,201,2.0,1.074,0.5324,99.9,95.3,0.5378,0.6082
natr_55_sft >= 0.400427|vol_z_200_sft <= -0.281068,LONG,SINTETICA_REVERSE,3.506,0.9744,3566,108,1.3114,1.3504,0.5227,100.0,94.6,0.5725,0.7017
natr_120_sft >= 0.346602|vol_z_13_sft >= 0.74,LONG,SINTETICA_REVERSE,1.498,0.7491,3247,495,2.0,1.1532,0.5164,99.1,91.2,0.52,0.5541
vol_z_24_sft >= 1.678476|natr_34_sft >= 0.392421,LONG,SINTETICA_REVERSE,3.002,0.8118,2624,227,2.0,1.0054,0.501,99.9,95.7,0.5266,0.571
vol_z_24_sft >= 1.678476|natr_89_sft >= 0.407308,LONG,SINTETICA_REVERSE,3.096,0.7824,3251,186,2.0,1.0428,0.4877,99.8,96.4,0.5312,0.6472
natr_24_sft >= 0.382885|vol_z_24_sft >= 1.678476|natr_21_sft >= 0.280609,LONG,SINTETICA_REVERSE,2.54,0.7633,2624,252,2.0,1.0299,0.4826,99.7,94.6,0.5256,0.556
natr_24_sft >= 0.382885|vol_z_24_sft >= 1.678476,LONG,SINTETICA_REVERSE,2.54,0.7633,2624,252,2.0,1.0299,0.4826,99.7,94.6,0.5256,0.556
natr_13_sft >= 0.533329|vol_z_24_sft >= 1.678476,LONG,SINTETICA_REVERSE,2.748,0.8487,2624,225,2.0,0.8908,0.4642,99.3,95.8,0.5223,0.5768
vol_z_21_sft >= Close_sft|natr_200_sft >= 0.483968,LONG,SINTETICA_REVERSE,2.347,0.885,3662,119,2.0,0.8341,0.4349,99.8,97.4,0.5438,0.618
bbw_13_sft <= 7.13|vol_z_21_sft >= Close_sft|natr_200_sft >= 0.483968,LONG,SINTETICA_REVERSE,2.347,0.885,3662,119,2.0,0.8341,0.4349,99.8,97.4,0.5438,0.618
std_55_sft <= 7.31|vol_z_21_sft >= Close_sft|natr_200_sft >= 0.483968,LONG,SINTETICA_REVERSE,2.347,0.885,3662,119,2.0,0.8341,0.4349,99.8,97.4,0.5438,0.618
bbw_24_sft <= 0.117298|vol_z_24_sft >= 1.678476|natr_55_sft >= 0.400427,LONG,SINTETICA_REVERSE,3.821,0.8007,3251,167,2.0,0.8635,0.4133,100.0,97.0,0.5289,0.6252
vol_z_21_sft >= Close_sft|natr_89_sft >= 0.489378,LONG,SINTETICA_REVERSE,2.247,0.8337,3517,127,2.0,0.8314,0.4103,99.6,96.1,0.5448,0.5385
vol_z_21_sft >= Close_sft|bbw_120_sft >= 0.125228,LONG,SINTETICA_REVERSE,2.401,0.9064,3377,92,2.0,0.7252,0.391,99.6,96.5,0.5043,0.5722
std_120_sft >= 0.027113|vol_z_24_sft >= 1.678476,LONG,SINTETICA_REVERSE,3.122,0.8003,3491,137,2.0,0.7879,0.3736,99.7,97.5,0.575,0.594
bbw_24_sft <= 0.067935|natr_55_sft >= 0.400427|vol_z_24_sft >= Close_sft,LONG,SINTETICA_REVERSE,3.177,0.8873,3422,112,1.754,0.7512,0.3495,100.0,98.6,0.5671,0.6558
vol_z_13_sft >= Close_sft|natr_48_sft >= 0.399513,LONG,SINTETICA_REVERSE,2.553,0.7746,3245,298,1.5744,0.907,0.3349,99.9,93.3,0.5254,0.5907
vol_z_21_sft >= Close_sft|natr_144_sft >= 0.485771,LONG,SINTETICA_REVERSE,2.333,0.8744,3665,121,1.5996,0.7679,0.3201,99.9,96.5,0.5438,0.5495
vol_z_21_sft >= Close_sft|natr_144_sft >= 0.485771|std_34_sft <= Close_sft,LONG,SINTETICA_REVERSE,2.333,0.8744,3665,121,1.5996,0.7679,0.3201,99.9,96.5,0.5438,0.5495
vol_z_8_sft <= -0.459537|vol_z_34_sft >= Close_sft|vol_z_89_sft >= 1.064504,LONG,SINTETICA_REVERSE,3.411,0.823,3103,100,2.0,0.6164,0.305,99.3,97.1,0.5791,0.5673
vol_z_24_sft >= 1.678476|bbw_120_sft >= 0.094253|std_13_sft >= 0.004202,LONG,SINTETICA_REVERSE,2.823,0.7335,3654,143,2.0,0.7007,0.3028,99.3,97.4,0.5648,0.6258
vol_z_200_sft <= -0.281068|natr_13_sft >= 0.361061,LONG,SINTETICA_REVERSE,2.427,0.9599,2301,142,0.6696,1.3698,0.3008,100.0,93.9,0.55,0.468
vol_z_24_sft >= 1.678476|bbw_89_sft >= 0.077099,LONG,SINTETICA_REVERSE,4.147,0.7588,3229,119,2.0,0.641,0.291,99.9,98.5,0.5655,0.5578
vol_z_24_sft >= 1.678476|natr_13_sft >= -8.77|bbw_89_sft >= 0.077099,LONG,SINTETICA_REVERSE,4.147,0.7588,3229,119,2.0,0.641,0.291,99.9,98.5,0.5655,0.5578
bbw_89_sft >= 0.077099|vol_z_24_sft >= 1.678476|bbw_8_sft <= 5.15,LONG,SINTETICA_REVERSE,4.147,0.7588,3229,119,2.0,0.641,0.291,99.9,98.5,0.5655,0.5578
natr_8_sft >= 0.341385|vol_z_120_sft <= -0.075898,LONG,SINTETICA_REVERSE,1.637,0.5782,2400,199,1.0692,1.3031,0.2605,99.8,90.8,0.5401,0.616
std_21_sft >= 0.003035|std_89_sft >= 0.022366|vol_z_24_sft >= 1.678476,LONG,SINTETICA_REVERSE,3.945,0.7006,3229,118,2.0,0.6172,0.2587,99.7,98.4,0.5587,0.5502
natr_48_sft >= 0.500517|vol_z_24_sft >= 1.678476,LONG,SINTETICA_REVERSE,4.691,0.8268,3522,116,1.6837,0.5764,0.2396,99.5,96.7,0.5517,0.5743
vol_z_24_sft >= 1.678476|vol_z_8_sft <= 0.52024,LONG,SINTETICA_REVERSE,1.99,0.59,2239,129,2.0,0.5918,0.2187,99.7,98.7,0.5122,0.6602
vol_z_21_sft <= 1.61818|vol_z_24_sft >= 1.678476,LONG,SINTETICA_REVERSE,3.646,0.8449,3394,97,1.559,0.5073,0.2013,100.0,99.2,0.5604,0.6517
vol_z_24_sft >= 0.770447|natr_89_sft >= 0.489378|vol_z_24_sft >= 1.678476,LONG,SINTETICA_REVERSE,7.02,0.7797,3523,101,1.1568,0.694,0.1917,100.0,97.3,0.5865,0.5223
natr_5_sft >= 0.5093|std_55_sft <= 0.01505,LONG,SINTETICA_REVERSE,1.772,0.5602,3626,189,1.1922,0.6785,0.1379,99.0,91.3,0.5075,0.5411
