Entry,Side,Exit,PF,R2,Stag_Active,Trades,OER,UI,Health,Monkey,Monkey_OOS,XS_IS,XS_OOS
willr_144_sft >= -23.649166|cci_200_sft >= 108.378761,SHORT,SINTETICA_REVERSE,33.137,0.9821,783,105,0.8381,2.7158,0.863,100.0,90.9,0.7617,0.7363
cci_200_sft >= 108.378761|stoch_144_sft >= 76.015617,SHORT,SINTETICA_REVERSE,33.857,0.985,783,99,0.8517,2.6518,0.8575,100.0,91.4,0.7791,0.699
stoch_144_sft >= 76.015617|cci_200_sft >= 108.378761|willr_48_sft <= Close_sft,SHORT,SINTETICA_REVERSE,33.857,0.985,783,99,0.8517,2.6518,0.8575,100.0,91.4,0.7791,0.699
cci_144_sft >= Close_sft|willr_48_sft <= Close_sft|stoch_89_sft <= 49.695614,SHORT,SINTETICA_REVERSE,4.613,0.9603,2217,174,1.7416,1.539,0.813,100.0,93.5,0.5715,0.6215
cci_200_sft >= 108.378761|stoch_200_sft >= Close_sft|stoch_120_sft >= 77.102669,SHORT,SINTETICA_REVERSE,32.695,0.9822,783,102,0.8236,2.5912,0.8107,100.0,91.7,0.7635,0.6553
cci_200_sft >= -6.31|stoch_89_sft <= 49.695614|stoch_8_sft <= 92.218132,SHORT,SINTETICA_REVERSE,3.261,0.9582,2109,182,1.8147,1.4598,0.8052,100.0,93.4,0.5543,0.6088
willr_120_sft >= -22.627737|cci_200_sft >= 108.378761,SHORT,SINTETICA_REVERSE,31.722,0.9793,783,107,0.7885,2.6244,0.7877,100.0,90.9,0.7554,0.6944
willr_200_sft >= -51.135506|stoch_89_sft <= 49.695614,SHORT,SINTETICA_REVERSE,4.576,0.9623,2852,165,1.5405,1.6792,0.7669,100.0,91.4,0.5739,0.6271
willr_200_sft >= -51.135506|willr_120_sft <= -0.37|stoch_89_sft <= 49.695614,SHORT,SINTETICA_REVERSE,4.582,0.9629,2852,164,1.5305,1.6797,0.763,100.0,91.4,0.5726,0.6271
willr_200_sft >= -25.023977|cci_200_sft >= 108.378761,SHORT,SINTETICA_REVERSE,28.761,0.9865,783,102,0.7553,2.6013,0.757,100.0,91.3,0.7483,0.6719
willr_200_sft >= -25.023977|cci_55_sft >= -75.503113|cci_200_sft >= 108.378761,SHORT,SINTETICA_REVERSE,28.761,0.9865,783,102,0.7553,2.6013,0.757,100.0,91.3,0.7483,0.6719
cci_200_sft >= 108.378761|willr_200_sft >= -25.023977|cci_89_sft >= Close_sft,SHORT,SINTETICA_REVERSE,28.761,0.9865,783,102,0.7553,2.6013,0.757,100.0,91.3,0.7483,0.6719
stoch_89_sft <= 49.695614|cci_144_sft >= -3.48,SHORT,SINTETICA_REVERSE,5.075,0.9656,2217,176,1.3904,1.6839,0.7239,100.0,93.0,0.585,0.5912
cci_200_sft >= 108.378761|cci_13_sft >= -86.617561,SHORT,SINTETICA_REVERSE,20.655,0.966,783,124,0.7151,2.5288,0.6868,100.0,90.9,0.7087,0.6162
stoch_5_sft >= 9.884915|cci_200_sft >= 108.378761,SHORT,SINTETICA_REVERSE,20.812,0.9688,783,121,0.6886,2.4776,0.6529,100.0,90.0,0.7347,0.5979
willr_89_sft <= -50.290939|cci_8_sft >= Close_sft|cci_200_sft >= -2.236664,SHORT,Ret_12,4.904,0.9038,3692,82,1.7209,1.4087,0.6497,100.0,92.8,0.6039,0.6133
stoch_5_sft >= 7.06|stoch_24_sft >= Close_sft|cci_200_sft >= 108.378761,SHORT,SINTETICA_REVERSE,20.316,0.9657,783,119,0.678,2.4766,0.6418,100.0,90.0,0.7235,0.5983
cci_200_sft >= -5.89|willr_89_sft <= -50.290939,SHORT,SINTETICA_REVERSE,4.908,0.9319,2109,142,1.1439,1.8105,0.631,100.0,91.8,0.5815,0.5556
stoch_89_sft <= 49.695614|cci_200_sft >= -2.236664,SHORT,SINTETICA_REVERSE,4.141,0.9497,2109,166,1.3211,1.4507,0.5887,100.0,93.1,0.5718,0.6046
stoch_89_sft <= 49.695614|stoch_200_sft >= 48.789024,SHORT,SINTETICA_REVERSE,4.652,0.9669,2884,127,1.2002,1.6017,0.5817,100.0,91.6,0.5969,0.5714
willr_89_sft <= -50.290939|cci_200_sft >= -2.11,SHORT,SINTETICA_REVERSE,4.647,0.9099,2109,139,1.1093,1.5515,0.5133,100.0,93.0,0.5892,0.5173
willr_89_sft <= -50.290939|cci_200_sft >= -2.236664,SHORT,SINTETICA_REVERSE,4.543,0.9113,2109,138,1.1126,1.54,0.5116,100.0,93.0,0.5882,0.5173
cci_89_sft <= 124.725998|stoch_89_sft <= 49.695614|cci_200_sft >= Close_sft,SHORT,SINTETICA_REVERSE,3.864,0.9285,2109,141,1.4034,1.1688,0.4905,100.0,95.0,0.5728,0.5967
willr_34_sft <= 3.42|stoch_13_sft >= 45.251888|cci_200_sft >= 108.378761,SHORT,SINTETICA_REVERSE,21.691,0.9708,783,116,0.493,2.4628,0.489,100.0,90.1,0.7286,0.6116
stoch_89_sft <= 49.695614|cci_200_sft >= Close_sft,SHORT,SINTETICA_REVERSE,3.875,0.9468,2109,158,1.318,1.2031,0.4856,100.0,93.9,0.572,0.6252
stoch_200_sft >= 5.16|stoch_89_sft <= 49.695614|cci_200_sft >= Close_sft,SHORT,SINTETICA_REVERSE,3.875,0.9468,2109,158,1.318,1.2031,0.4856,100.0,93.9,0.572,0.6252
cci_200_sft >= -6.59|cci_89_sft <= 1.27,SHORT,SINTETICA_REVERSE,5.654,0.9501,1375,116,0.931,1.4055,0.4383,100.0,90.0,0.6088,0.5277
cci_21_sft >= 7.97|cci_200_sft >= 108.378761,SHORT,SINTETICA_REVERSE,21.215,0.9644,783,114,0.4491,2.3505,0.4293,100.0,90.1,0.7233,0.5689
cci_5_sft >= 126.459312|cci_21_sft >= 78.928909,SHORT,SINTETICA_REVERSE,1.913,0.9401,1661,458,1.7846,0.7467,0.4105,99.8,94.9,0.4906,0.5455
cci_24_sft >= 77.721397|cci_5_sft >= 126.459312,SHORT,SINTETICA_REVERSE,2.014,0.9455,1803,438,1.7203,0.7607,0.4018,99.9,95.1,0.4897,0.5469
willr_48_sft >= -96.85627|cci_5_sft >= 126.459312|cci_24_sft >= 77.721397,SHORT,SINTETICA_REVERSE,2.014,0.9455,1803,438,1.7203,0.7607,0.4018,99.9,95.1,0.4897,0.5469
cci_144_sft >= Close_sft|cci_48_sft <= Close_sft|cci_13_sft >= Close_sft,SHORT,Ret_12,5.705,0.9488,2279,77,1.1015,1.1281,0.3828,100.0,90.7,0.6095,0.4877
willr_89_sft <= -50.290939|cci_55_sft <= 70.300186|stoch_144_sft >= 49.124619,SHORT,SINTETICA_REVERSE,4.322,0.9377,3521,159,0.8385,1.4638,0.3631,100.0,93.2,0.5871,0.5189
stoch_89_sft >= Close_sft|willr_89_sft <= -50.290939|stoch_120_sft >= 49.271656,SHORT,SINTETICA_REVERSE,3.271,0.9246,3746,166,0.9511,1.303,0.3542,100.0,93.9,0.5485,0.5221
cci_13_sft >= 79.580521|cci_5_sft >= 126.459312,SHORT,SINTETICA_REVERSE,2.293,0.9187,1661,557,1.0716,1.0408,0.3476,100.0,93.4,0.5082,0.5287
cci_5_sft >= 126.459312|stoch_13_sft >= 1.91|stoch_8_sft >= 46.887909,SHORT,SINTETICA_REVERSE,1.937,0.9317,1263,595,1.0472,1.0063,0.3464,100.0,92.8,0.4978,0.5309
stoch_8_sft >= 46.887909|cci_5_sft >= 126.459312,SHORT,SINTETICA_REVERSE,1.937,0.9317,1263,595,1.0472,1.0063,0.3464,100.0,92.8,0.4978,0.5309
cci_5_sft >= 126.459312|stoch_5_sft >= 4.98|stoch_8_sft >= 46.887909,SHORT,SINTETICA_REVERSE,1.937,0.9317,1263,595,1.0472,1.0063,0.3464,100.0,92.8,0.4978,0.5309
cci_144_sft >= -2.175368|cci_120_sft <= 3.16|willr_5_sft <= Close_sft,SHORT,SINTETICA_REVERSE,3.644,0.9188,2292,110,1.8198,0.6528,0.3425,99.6,96.2,0.5654,0.5359
cci_13_sft >= 3.05|willr_89_sft <= -19.620047|willr_120_sft >= -22.627737,SHORT,SINTETICA_REVERSE,9.732,0.9268,1957,80,1.0779,1.021,0.3384,100.0,96.5,0.5565,0.5114
cci_200_sft >= Close_sft|willr_120_sft <= -22.627737|stoch_89_sft <= 49.695614,SHORT,SINTETICA_REVERSE,3.555,0.8842,1490,132,1.2227,0.912,0.3359,99.9,94.8,0.5725,0.5939
cci_144_sft >= -2.175368|willr_120_sft <= -8.505155|cci_120_sft <= 2.95,SHORT,SINTETICA_REVERSE,3.795,0.9195,2292,108,1.7566,0.6581,0.3342,99.8,96.2,0.5715,0.5382
