Entry,Side,Exit,PF,R2,Stag_Active,Trades,OER,UI,Health,Monkey,Monkey_OOS,XS_IS,XS_OOS
rsi_144_sft >= Close_sft|roc_120_sft >= 2.34|cmo_24_sft >= Close_sft,SHORT,SINTETICA_REVERSE,29.282,0.9805,666,158,1.2958,3.9531,1.9118,100.0,90.0,0.6912,0.7173
mfi_24_sft <= 66.042664|mom_120_sft >= 0.03876|force_5_sft >= -36.815929,SHORT,SINTETICA_REVERSE,12.905,0.977,1711,165,1.7557,3.1635,1.7724,100.0,92.3,0.6568,0.726
roc_120_sft >= 4.03|mfi_34_sft <= 63.330288,SHORT,SINTETICA_REVERSE,23.736,0.9703,1701,120,1.6376,3.3921,1.7688,100.0,92.4,0.6811,0.7353
mom_120_sft >= 0.03876|mfi_200_sft <= 52.154392,SHORT,SINTETICA_REVERSE,14.048,0.9803,1853,112,2.0,2.7042,1.7024,100.0,93.8,0.6656,0.6949
mom_120_sft >= 0.03876|mom_5_sft >= -0.01752,SHORT,SINTETICA_REVERSE,32.517,0.963,1715,140,1.3226,3.9509,1.6722,100.0,90.9,0.6965,0.6854
mom_120_sft >= 0.03876|roc_5_sft >= -1.560326,SHORT,SINTETICA_REVERSE,33.816,0.9623,1715,138,1.3029,3.9528,1.6486,100.0,90.9,0.6996,0.6854
roc_144_sft <= 1.45|mom_120_sft >= 0.01816,SHORT,SINTETICA_REVERSE,8.507,0.9768,530,169,1.3208,3.2233,1.6371,100.0,92.1,0.6355,0.6583
force_5_sft >= -36.815929|roc_120_sft >= 3.482884|rsi_144_sft >= Close_sft,SHORT,SINTETICA_REVERSE,13.907,0.988,1699,173,1.3609,3.6156,1.6143,100.0,91.6,0.6548,0.6899
roc_120_sft >= 4.16,SHORT,SINTETICA_REVERSE,43.003,0.9833,1710,98,1.2799,3.8301,1.6063,100.0,92.0,0.7638,0.7657
force_5_sft >= -99.99379|mom_120_sft >= 0.03876,SHORT,SINTETICA_REVERSE,18.264,0.9674,1715,152,1.2851,3.8737,1.6036,100.0,90.6,0.6866,0.6653
mom_120_sft >= 0.03876|roc_55_sft >= -4.954921,SHORT,SINTETICA_REVERSE,35.882,0.9656,1715,128,1.198,4.0853,1.5819,100.0,90.9,0.715,0.6806
mom_120_sft >= 0.03876|mom_34_sft >= -0.05382,SHORT,SINTETICA_REVERSE,39.489,0.9682,1715,125,1.1877,4.088,1.5747,100.0,90.9,0.718,0.7172
mom_120_sft >= 0.03876|mom_55_sft >= -0.05761,SHORT,SINTETICA_REVERSE,35.848,0.9667,1715,127,1.1898,4.0822,1.5725,100.0,90.9,0.7164,0.6806
roc_120_sft >= 4.44,SHORT,SINTETICA_REVERSE,88.784,0.976,1709,86,1.3138,3.6804,1.5697,100.0,92.7,0.7366,0.8002
mom_120_sft >= 0.03876|roc_8_sft >= -5.11,SHORT,SINTETICA_REVERSE,41.152,0.9639,1715,128,1.1853,4.0773,1.5606,100.0,90.2,0.7163,0.7003
mom_48_sft >= -0.05927|mom_120_sft >= 0.03876,SHORT,SINTETICA_REVERSE,40.051,0.9687,1715,125,1.176,4.0855,1.5601,100.0,90.9,0.7229,0.6886
roc_120_sft >= 3.482884|roc_8_sft >= -3.36,SHORT,SINTETICA_REVERSE,41.337,0.9789,1715,127,1.1847,4.0152,1.56,100.0,90.2,0.7008,0.676
roc_120_sft >= 3.482884|mfi_89_sft <= 53.894596,SHORT,SINTETICA_REVERSE,12.253,0.9816,1700,117,1.8383,2.6444,1.5564,100.0,91.9,0.6216,0.6188
roc_120_sft >= 4.13|cmo_200_sft >= -0.418207,SHORT,SINTETICA_REVERSE,112.033,0.9849,1711,89,1.3185,3.5974,1.5532,100.0,92.4,0.7688,0.7943
mom_89_sft >= -0.05636|mom_120_sft >= 0.03876,SHORT,SINTETICA_REVERSE,35.921,0.966,1715,124,1.1963,3.9678,1.535,100.0,91.7,0.7098,0.7112
roc_55_sft >= -4.954921|roc_120_sft >= 3.482884|force_24_sft >= -54.319164,SHORT,SINTETICA_REVERSE,29.737,0.9701,1715,130,1.2362,3.8289,1.5334,100.0,90.2,0.6861,0.6569
mom_120_sft >= -0.03868|roc_120_sft >= 4.45,SHORT,SINTETICA_REVERSE,91.407,0.9783,1709,83,1.291,3.6318,1.5276,100.0,92.7,0.7408,0.8002
roc_120_sft >= 3.482884|roc_48_sft >= -3.08,SHORT,SINTETICA_REVERSE,39.046,0.978,1715,121,1.1464,4.0537,1.5266,100.0,90.9,0.7087,0.6647
roc_120_sft >= 3.482884|roc_200_sft >= -5.111937,SHORT,SINTETICA_REVERSE,31.299,0.9788,1715,120,1.1612,3.9981,1.5248,100.0,90.9,0.6913,0.6758
