Entry,Side,Exit,PF,R2,Stag_Active,Trades,OER,UI,Health,Monkey,Monkey_OOS,XS_IS,XS_OOS
linreg_144_sft >= 0.00033|ema_120_sft >= -2.91|linreg_5_sft >= -0.003159,SHORT,SINTETICA_REVERSE,5.865,0.9879,3396,85,1.7099,2.6353,1.334,100.0,90.8,0.6767,0.672
adx_144_sft >= 3.534339|minus_di_55_sft <= 25.032581|ema_120_sft >= 1.09297,SHORT,SINTETICA_REVERSE,34.631,0.9009,2049,93,2.0,2.0062,1.1454,100.0,95.8,0.6987,0.7495
linreg_24_sft <= ema_55_sft|linreg_144_sft >= 0.00033|efficiency_8_sft <= 0.874644,SHORT,SINTETICA_REVERSE,8.183,0.9882,3113,78,1.6235,2.3494,1.145,100.0,91.6,0.663,0.6558
slope_144_sft >= -0.049753|plus_di_34_sft <= 30.148554|linreg_144_sft >= 0.000162,SHORT,SINTETICA_REVERSE,6.296,0.9314,1713,84,2.0,1.8202,1.1001,100.0,91.0,0.5621,0.6574
ema_144_sft >= 1.093266|minus_di_89_sft <= 27.283876,SHORT,SINTETICA_REVERSE,10.67,0.9069,2041,81,2.0,1.8972,1.0909,100.0,95.7,0.6948,0.8537
efficiency_144_sft <= 0.044117|linreg_144_sft >= 0.000162,SHORT,SINTETICA_REVERSE,4.863,0.9752,1408,125,1.3778,2.3717,1.0845,100.0,92.2,0.6096,0.5616
linreg_120_sft >= -3e-06|macdh_89_sft >= 0.000446,SHORT,SINTETICA_REVERSE,137.911,0.9716,508,89,0.8904,3.0075,1.0661,100.0,90.3,0.743,0.6427
ema_48_sft >= 1.091043|minus_di_144_sft <= 28.860615|trix_48_sft <= 7.68,SHORT,SINTETICA_REVERSE,11.33,0.9039,1678,81,2.0,1.8086,1.0638,100.0,91.7,0.676,0.8146
minus_di_55_sft <= 35.240829|slope_48_sft >= 0.101706|linreg_144_sft >= -2e-06,SHORT,SINTETICA_REVERSE,38.844,0.9902,673,108,1.063,2.6149,1.0624,100.0,92.2,0.6995,0.7143
linreg_34_sft >= 0.000552|aroon_144_sft >= ema_21_sft,SHORT,SINTETICA_REVERSE,19.587,0.9913,578,84,0.9602,2.7934,1.0601,100.0,91.0,0.7474,0.7726
