sym,tf,rule,side,exit,n_oos,sr,skew,kurt,form,mk_oos_z2,dsr
GBPUSD,H1,distmin20_adx_120_sft <= ema_13_sft|slope10_cci_120_sft,LONG,Ret_72,194,0.05911968879269808,-0.024920581962658606,7.587685748932364,True,92.7,0.045187927383533485
GBPUSD,H1,slope5_cci_200_sft <= ema_13_sft|delta3_adx_89_sft <= 0,LONG,Ret_72,201,0.0502623770973615,-0.8975144699575993,9.42793537633152,True,92.7,0.0351286440035373
GBPUSD,H1,std_89_sft >= 0.0088|distmax100_natr_120_sft >= -0.0075,SHORT,Ret_24,68,-0.04603517435584181,-0.8330625369614325,5.388960511793977,True,37.5,0.028943169048187695
GBPUSD,H1,std_89_sft >= 0.0088|delta5_natr_144_sft <= ema_34_sft|,SHORT,Ret_24,68,-0.04603517435584181,-0.8330625369614325,5.388960511793977,True,37.5,0.028943169048187695
GBPUSD,H1,delta3_natr_89_sft <= ema_200_sft|distmax100_natr_120_s,SHORT,Ret_24,68,-0.04603517435584181,-0.8330625369614325,5.388960511793977,True,37.5,0.028943169048187695
GBPUSD,H1,distmax100_natr_120_sft >= -0.0075|std_89_sft >= 0.0088,SHORT,Ret_24,68,-0.04603517435584181,-0.8330625369614325,5.388960511793977,True,37.5,0.028943169048187695
GBPUSD,H1,ema_144_sft <= 1.3196|ema_200_sft <= 1.2867|delta3_adx_,LONG,Ret_72,203,0.04452134442229695,-0.12932648030742677,8.057904309243838,True,92.2,0.02635795891131863
GBPUSD,H1,delta3_adx_89_sft <= 0.1532|ema_200_sft <= 1.2867|ema_2,LONG,Ret_72,203,0.04452134442229695,-0.12932648030742677,8.057904309243838,True,92.2,0.02635795891131863
GBPUSD,H1,ema_200_sft <= 1.2867|delta3_adx_89_sft <= -0.0283,LONG,Ret_72,183,0.03719777090019169,0.06374926619914864,5.592339544974116,True,82.7,0.025773903266646955
GBPUSD,H1,ema_200_sft <= 1.2867|delta3_adx_89_sft <= 0.1532|slope,LONG,Ret_72,199,0.029620213125018002,-0.7477982550583585,8.723564341712411,True,82.9,0.017365870689282886
GBPUSD,H1,ema_200_sft <= 1.2867|aroon_120_sft <= 88.3333|delta3_a,LONG,Ret_72,200,0.025314106058288537,-0.08879698408824266,8.45391736838973,True,82.1,0.013944310723443123
GBPUSD,H1,distmax100_natr_120_sft >= -0.0075|vol_z_8_sft >= Close,SHORT,SINTETICA_REVERSE,116,-0.025481705630707823,-1.603011593001368,10.191906609033571,True,71.3,0.011782654284874716
GBPUSD,H1,std_89_sft >= 0.0088|distmin100_natr_89_sft >= 0.0156|d,SHORT,Ret_24,64,-0.09904720466305326,-0.7319712081979776,5.274726689999189,True,15.1,0.010757144909359206
GBPUSD,H1,slope3_adx_89_sft <= -0.0566|ema_200_sft <= 1.2867,LONG,Ret_12,289,0.0018930552040929921,1.3602232781538512,11.491476978008656,True,78.8,0.0011397411525997218
GBPUSD,H1,rsi_13_sft <= 32.9049|delta3_mom_5_sft <= 0.0|tsrank50_,SHORT,SINTETICA_REVERSE,356,-0.01269923410881415,4.501065255747061,46.020649654328786,True,93.2,0.000189123218885471
GBPUSD,H1,rsi_13_sft <= 32.9049|cmo_48_sft <= ema_200_sft|delta3_,SHORT,SINTETICA_REVERSE,352,-0.015874357106154025,4.484857417101344,44.69321598122313,True,92.8,0.0001802657964314187
GBPUSD,H1,tsrank50_rsi_55_sft <= 1.0|delta3_mom_5_sft <= 0.0|rsi_,SHORT,SINTETICA_REVERSE,359,-0.015434630282674217,4.3818289761434865,44.181135346643806,True,92.9,0.0001584634857740236
GBPUSD,H1,slope10_rsi_8_sft <= 0.0284|rsi_13_sft <= 32.9049|delta,SHORT,SINTETICA_REVERSE,343,-0.027024746209837813,4.532912573530739,46.1104909673528,True,87.4,0.00014407575468073698
GBPUSD,H1,rsi_13_sft <= 32.9049|slope10_cci_48_sft >= -21.866|rsi,SHORT,SINTETICA_REVERSE,325,-0.0572614929076723,1.877298972617669,12.556707338419486,True,78.9,2.3946379643510402e-05
GBPUSD,H1,slope3_cci_120_sft >= -0.0022|ema_200_sft <= 1.2867|plu,LONG,Ret_12,596,0.010615936055955922,0.5107053911860362,8.941498929460215,True,92.3,1.4699549833003901e-05
EURGBP,H1,distmin20_natr_5_sft <= 0.1565|slope10_rsi_8_sft <= ema,SHORT,Ret_24,28,0.03606198977952406,1.0499409660025356,4.133720014932237,True,77.7,0.12905389424604025
EURGBP,H1,Close_sft <= 0.8647|delta3_rsi_13_sft <= -14.1349|tsran,LONG,Ret_96,142,0.15306383262296414,0.78956852003556,5.060509153387614,True,99.7,0.11371633424922489
EURGBP,H1,Close_sft <= 0.8647|delta3_rsi_13_sft <= -14.1349|slope,LONG,Ret_96,150,0.10924717654358669,0.9650526859944912,5.245543009182407,True,97.8,0.03598205277064707
EURGBP,H1,slope10_rsi_8_sft <= ema_13_sft|natr_13_sft >= 0.2112|b,SHORT,Ret_24,37,-0.0846522341165131,0.848125042248597,4.159330669669318,True,33.8,0.026656064471830367
EURGBP,H1,slope10_mom_144_sft >= -0.0005|slope3_natr_8_sft >= 0.0,LONG,Ret_72,88,0.010846440893864539,0.29762222746456823,2.7247498028067505,True,63.9,0.012841321444591046
EURGBP,H1,Close_sft <= 0.8647|distmax100_mom_200_sft <= ema_13_sf,LONG,Ret_96,151,0.06934409773173425,0.6611185533016726,4.134673573867289,True,90.8,0.012026235457431596
EURGBP,H1,Close_sft <= 0.8647|delta3_mom_5_sft <= ema_89_sft|delt,LONG,Ret_96,151,0.06934409773173425,0.6611185533016726,4.134673573867289,True,90.8,0.012026235457431596
EURGBP,H1,delta3_rsi_13_sft <= -14.1349|Close_sft <= 0.8647|Close,LONG,Ret_96,151,0.06934409773173425,0.6611185533016726,4.134673573867289,True,90.8,0.012026235457431596
EURGBP,H1,Close_sft <= 0.8647|delta3_rsi_48_sft <= -1.2|delta3_rs,LONG,Ret_96,151,0.06934409773173425,0.6611185533016726,4.134673573867289,True,90.8,0.012026235457431596
EURGBP,H1,delta3_rsi_13_sft <= -14.1349|Close_sft <= 0.8647|distm,LONG,Ret_96,151,0.06934409773173425,0.6611185533016726,4.134673573867289,True,90.8,0.012026235457431596
EURGBP,H1,delta3_rsi_13_sft <= -14.1349|Close_sft <= 0.8647|mfi_1,LONG,Ret_96,151,0.06483763211124877,0.6116342765044134,4.1387289062448245,True,89.7,0.010560622785804144
EURGBP,H1,aroon_89_sft <= -80.8989|slope3_natr_13_sft <= ema_24_s,LONG,Ret_72,89,0.0026943728767374,0.34471931142755186,3.6003664324379883,True,60.3,0.010231754554692855
EURGBP,H1,Close_sft <= 0.8647|delta3_rsi_13_sft <= -14.1349|cmo_5,LONG,Ret_96,150,0.05567885533525144,0.6083067423626016,4.154100836991175,True,86.5,0.008067489530112987
EURGBP,H1,delta3_rsi_13_sft <= -14.1349|Close_sft <= 0.8647|slope,LONG,Ret_96,146,0.041436551302892796,0.7274883196577299,4.153399427518784,True,81.8,0.005477395476420998
EURGBP,H1,cci_200_sft <= -174.4506|stoch_55_sft <= 21.875|tsrank2,LONG,SINTETICA_REVERSE,118,-0.03413959025674868,-2.3707981433133147,18.018567601077162,True,77.7,0.0007030711939463584
EURGBP,H1,cci_200_sft <= -90.0686|stoch_55_sft <= 21.875|cci_200_,LONG,SINTETICA_REVERSE,118,-0.03413959025674868,-2.3707981433133147,18.018567601077162,False,77.7,0.0007030711939463584
EURGBP,H1,distmax20_cci_200_sft <= ema_55_sft|cci_200_sft <= -174,LONG,SINTETICA_REVERSE,118,-0.03413959025674868,-2.3707981433133147,18.018567601077162,True,77.7,0.0007030711939463584
EURGBP,H1,rsi_13_sft >= Close_sft|stoch_55_sft <= 21.875|cci_200_,LONG,SINTETICA_REVERSE,118,-0.03413959025674868,-2.3707981433133147,18.018567601077162,False,77.7,0.0007030711939463584
EURGBP,H1,distmax100_cci_200_sft <= ema_48_sft|cci_200_sft <= -17,LONG,SINTETICA_REVERSE,118,-0.03413959025674868,-2.3707981433133147,18.018567601077162,True,77.7,0.0007030711939463584
EURGBP,H1,delta3_rsi_13_sft <= -14.1349|Close_sft <= 0.8885,LONG,Ret_96,222,-0.00538727496244877,0.4538158173703099,3.8418704691906145,True,62.5,7.631028794323664e-05
XAUUSD,H4,delta5_cci_13_sft >= -1.1261|rsi_8_sft <= 20|tsrank20_n,LONG,SINTETICA_REVERSE,21,0.36461338681349204,1.047019348012645,4.197049212783852,True,97.4,0.26655771494371827
XAUUSD,H4,std_34_sft >= 8.5878|delta5_cci_13_sft >= -1.1261|rsi_8,LONG,SINTETICA_REVERSE,23,0.246006598043731,0.4826111371296007,4.0249209076361705,True,94.0,0.1239089218114321
XAUUSD,H4,rsi_8_sft <= 20|slope5_cci_89_sft >= -14.8986|delta5_cc,LONG,SINTETICA_REVERSE,18,0.1878957428141317,1.0059445455182479,5.575645212400358,True,82.8,0.09346074026858675
XAUUSD,H4,rsi_8_sft <= 20|delta5_cci_13_sft >= -1.1261|slope3_nat,LONG,SINTETICA_REVERSE,19,0.06880076359623458,0.5827233683223132,3.228175523973219,True,66.2,0.03655144998136829
XAUUSD,H4,delta10_rsi_8_sft <= -13.8261|rsi_8_sft <= 20|delta5_cc,LONG,SINTETICA_REVERSE,24,0.06332559501214964,0.024528853144445754,3.6278977402280117,True,65.3,0.022071167976812796
XAUUSD,H4,slope10_natr_89_sft >= 0.0029|slope5_mom_34_sft <= 1.90,SHORT,SINTETICA_REVERSE,60,0.06009764189080603,2.6293896815036115,15.148783213009654,True,92.7,0.0002194535103126832
XAUUSD,H4,slope10_natr_89_sft >= 0.0029|delta5_rsi_13_sft <= ema_,SHORT,SINTETICA_REVERSE,60,0.06009764189080603,2.6293896815036115,15.148783213009654,True,92.7,0.0002194535103126832
XAUUSD,H4,slope10_natr_89_sft >= 0.0029|slope5_mom_34_sft <= 1.90,SHORT,SINTETICA_REVERSE,46,0.14783031379867373,5.173660146366485,32.57313463544901,True,100.0,0.00021263732634508814
XAUUSD,H4,minus_di_13_sft >= 15.722|slope10_natr_89_sft >= 0.0029,SHORT,SINTETICA_REVERSE,58,0.016428730943231988,1.209354958313321,6.5542073666447855,True,84.5,0.0001860026635803192
XAUUSD,H4,slope5_mom_34_sft <= 1.9081|slope10_natr_89_sft >= 0.00,SHORT,SINTETICA_REVERSE,52,-0.021569024273831623,0.5127498448988809,3.3692661731973153,True,71.2,0.0001686833154986359
XAUUSD,H4,slope10_rsi_13_sft <= 2.5184|slope10_natr_89_sft >= 0.0,SHORT,SINTETICA_REVERSE,66,0.05587757088697912,2.6107414962600877,15.22180552716624,True,94.9,0.00010605627322636074
