exit,pf_is,pf_oos,mk_is,mk_oos
Ret_96,1.3657,1.6428,100.0,23.7
Ret_96,1.3675,1.6397,100.0,23.7
Ret_96,1.3653,1.5302,100.0,19.6
Ret_96,1.3685,1.6397,100.0,23.7
Ret_72,1.429,1.7471,99.8,49.6
Ret_96,1.4812,2.0441,99.7,51.4
Ret_96,1.3658,1.4998,99.0,19.900000000000002
Ret_96,1.3866,1.6531,100.0,23.400000000000002
Ret_96,1.3746,1.8349,97.39999999999999,40.8
Ret_96,1.3742,1.8349,97.39999999999999,40.8
Ret_96,1.5776,1.659,99.7,39.800000000000004
Ret_96,1.4079,1.8299,99.6,41.099999999999994
Ret_96,1.407,1.8195,99.6,40.6
Ret_72,1.3991,1.577,99.8,43.9
Ret_96,1.4625,1.8706,99.3,45.4
Ret_72,1.5349,1.8416,99.5,57.599999999999994
Ret_72,1.3814,1.7706,99.1,54.900000000000006
Ret_96,1.4037,1.4458,98.9,17.8
Ret_96,1.4147,1.5214,99.9,24.3
Ret_96,1.4273,1.8242,98.4,34.1
Ret_96,1.5249,1.5991,99.8,28.799999999999997
Ret_96,1.3932,1.8175,97.3,36.4
Ret_96,1.421,1.4059,99.9,11.700000000000001
Ret_96,1.3778,1.551,98.2,35.9
Ret_96,1.453,1.6913,99.0,42.0
Ret_96,1.453,1.6913,99.0,42.0
Ret_96,1.3794,1.6579,98.5,39.900000000000006
Ret_96,1.453,1.6913,99.0,42.0
Ret_96,1.3897,1.5566,97.89999999999999,30.4
Ret_96,1.4196,1.6781,97.6,38.9
Ret_72,1.3974,1.4604,99.6,30.7
Ret_96,1.3649,1.608,97.6,35.9
Ret_96,1.391,1.5756,98.4,41.3
Ret_72,1.3674,1.5084,98.6,30.9
Ret_72,1.3754,1.5233,99.5,42.6
Ret_72,1.4141,1.7395,97.7,58.199999999999996
Ret_72,1.4141,1.7395,97.7,58.199999999999996
Ret_72,1.4141,1.7395,97.7,58.199999999999996
Ret_96,1.4358,1.4872,99.4,20.7
Ret_96,1.4118,1.6875,97.2,33.4
Ret_96,1.3685,1.6711,96.5,38.4
Ret_96,1.3856,1.4095,98.4,24.4
Ret_96,1.3636,1.5153,98.2,28.299999999999997
Ret_96,1.3675,1.6397,100.0,23.7
Ret_96,1.494,1.3123,98.3,13.8
Ret_72,1.4966,1.2704,99.3,17.299999999999997
Ret_96,1.4031,1.3202,97.6,11.3
Ret_72,1.4262,1.0793,98.8,3.9
Ret_96,1.4656,1.1711,99.5,7.199999999999999
Ret_72,1.3939,1.0842,99.2,4.0
Ret_96,1.3626,1.5312,98.2,29.099999999999998
Ret_72,1.3809,1.2765,98.3,19.3
Ret_96,1.3932,1.8175,97.3,36.4
Ret_72,1.38,1.7096,95.6,43.0
Ret_96,1.4545,1.3017,98.6,13.200000000000001
Ret_96,1.3644,1.2944,98.3,8.799999999999999
Ret_96,1.5056,1.3411,98.8,17.299999999999997
Ret_96,1.3632,2.055,91.0,60.9
Ret_96,1.4286,1.5928,99.0,41.699999999999996
Ret_72,1.369,1.0869,98.4,5.4
Ret_96,1.3967,1.8175,97.5,36.4
Ret_96,1.3904,1.6262,96.5,41.699999999999996
Ret_96,1.3871,1.3115,98.1,13.200000000000001
Ret_72,1.3836,1.432,98.2,35.199999999999996
Ret_96,1.3641,1.6953,96.0,33.300000000000004
Ret_96,1.4299,1.1185,97.89999999999999,1.6
Ret_72,1.391,1.1999,96.8,11.4
Ret_72,1.4233,1.1394,97.5,10.5
Ret_96,1.6523,1.4001,99.9,25.0
Ret_72,1.3736,1.1746,98.5,8.0
Ret_96,1.5471,1.4422,98.8,27.900000000000002
Ret_72,1.3881,1.3621,98.4,24.9
Ret_96,1.3936,1.4295,97.1,14.7
Ret_96,1.5164,1.4973,99.1,23.799999999999997
Ret_72,1.3922,1.4876,98.1,32.0
Ret_96,1.4687,1.2769,97.8,13.700000000000001
Ret_96,1.3903,1.7544,97.2,45.800000000000004
