rule,side,exit,n_is,n_oos,pf_is,pf_oos
mom_21_sft <= 6.417|force_34_sft >= 5934.621094,LONG,Ret_96,359,207,1.3657,1.6428
force_34_sft >= Close_sft|mom_21_sft <= 6.417,LONG,Ret_96,359,207,1.3675,1.6397
mom_34_sft >= 6.41|mom_89_sft <= Close_sft|roc_120_sft >= -1.008683,LONG,Ret_96,303,212,1.3083,1.4949
force_34_sft >= 5934.621094|roc_21_sft <= 0.462011,LONG,Ret_96,361,221,1.3015,1.6345
roc_89_sft <= 2.150699|cmo_24_sft >= 5.71,LONG,Ret_96,343,213,1.325,1.7014
roc_21_sft <= 0.462011|rsi_8_sft >= 61.997915,LONG,Ret_96,336,213,1.3653,1.5302
force_34_sft >= 7.18|mom_21_sft <= 6.417,LONG,Ret_96,359,207,1.3685,1.6397
roc_89_sft <= 2.150699|force_34_sft >= -7.22|mfi_21_sft >= 40.662081,LONG,Ret_96,359,223,1.3203,1.5706
force_34_sft >= 860495.4375|roc_89_sft >= -4.47|mom_55_sft <= 9.28,LONG,Ret_72,288,180,1.429,1.7471
mom_120_sft <= 17.629001|cmo_89_sft >= -1.35|force_120_sft >= Close_sft,LONG,Ret_96,267,124,1.4812,2.0441
rsi_8_sft >= 29.771312|roc_8_sft >= 0.251397|force_34_sft >= Close_sft,LONG,Ret_96,349,227,1.3384,1.5917
cmo_21_sft >= -3.32|force_24_sft >= -2.56|rsi_13_sft <= 59.544155,LONG,Ret_96,367,230,1.297,1.4427
force_8_sft >= Close_sft|roc_8_sft <= 0.007914|roc_5_sft >= -0.395822,LONG,Ret_96,369,229,1.2888,1.5346
force_34_sft >= Close_sft|mfi_89_sft >= 41.208059,LONG,Ret_96,369,236,1.2517,1.4265
force_34_sft >= Close_sft|force_34_sft >= -2342065.75|roc_21_sft <= 0.462011,LONG,Ret_96,361,221,1.2986,1.6316
force_34_sft >= -2342065.75|force_34_sft >= 8.11|roc_8_sft >= 0.251397,LONG,Ret_96,349,227,1.339,1.5917
roc_21_sft <= 0.462011|force_34_sft >= Close_sft|roc_34_sft <= 1.253321,LONG,Ret_96,357,215,1.28,1.6672
roc_21_sft <= 0.462011|force_34_sft >= 5.63,LONG,Ret_96,361,221,1.2994,1.6191
rsi_5_sft >= 50.52813|force_5_sft >= 18865.238281|roc_89_sft >= 0.092346,LONG,Ret_96,314,210,1.2725,1.6383
