exit,fitness,n_valid,pf_is,pf_oos,mk_oos_z2
Ret_96,0.0,6,1.0783430874862265,1.378715407582119,18.099999999999998
Ret_96,0.0,6,1.0530895798291382,1.3991484443783957,36.1
Ret_72,20.25,6,1.0559722562341158,1.4083718194924604,80.5
Ret_96,46.75,6,1.1052690565393737,1.4014470388964284,38.0
Ret_96,0.0,6,1.0530895798291382,1.3991484443783957,33.0
Ret_96,73.25,6,1.1827288873583996,1.6449222667496992,59.4
Ret_96,0.0,6,1.053509140076252,1.387753165297473,27.500000000000004
Ret_24,84.625,6,1.0977775664117218,1.203462961959068,71.5
Ret_96,29.375,6,1.0895705647180114,1.4676441098885193,64.2
Ret_96,0.0,6,1.0630171672114432,1.4563454652800778,67.7
Ret_72,33.25,6,1.0746170233009757,1.258133297518471,22.3
Ret_96,0.0,6,1.0530895798291382,1.3991484443783957,34.0
Ret_96,0.0,6,1.0530895798291382,1.3991484443783957,34.599999999999994
Ret_48,76.25,6,1.0633582495423455,1.1136708906161228,19.3
Ret_96,59.125,6,1.146868216404146,1.3753379289010428,47.099999999999994
Ret_96,51.75,6,1.121468025043744,1.581518900328314,87.6
Ret_96,0.0,6,1.0530895798291382,1.3991484443783957,34.599999999999994
Ret_96,36.0,6,1.1296244992461837,1.356137988513084,31.900000000000002
Ret_96,13.125,6,1.0540691433177332,1.5297582321373826,64.60000000000001
Ret_96,31.75,6,1.0939546937161968,1.3136413342852848,11.1
Ret_72,58.125,6,1.1613897341523414,0.9742463593985785,24.099999999999998
Ret_96,0.0,6,1.0294261258322532,1.4228927537374376,46.1
Ret_12,34.875,6,1.0601459939425164,1.1591779624247387,81.2
Ret_96,0.0,6,1.0482724196662339,1.4161252635536452,18.3
Ret_96,45.5,6,1.059335257570247,1.8904370150554974,94.39999999999999
Ret_96,44.375,6,1.0810019816679983,1.326025681191164,21.7
Ret_96,0.0,6,1.0530895798291382,1.3991484443783957,35.0
Ret_72,77.5,6,1.17964898541611,1.5958417819047914,95.1
Ret_72,71.25,6,1.0674158176362138,1.0653070949802481,3.5000000000000004
Ret_96,16.125,6,1.1350766808221384,1.5390763066222686,71.5
Ret_96,40.125,6,1.1636178767384382,1.4211096869901454,46.800000000000004
Ret_96,0.0,6,1.0530895798291382,1.3991484443783957,36.7
Ret_96,0.0,6,1.070230834618283,1.4022410472721207,21.0
Ret_72,0.0,6,1.0404172848020758,1.2465978766728896,15.1
Ret_96,39.75,6,1.1245469450006176,1.5752774798532279,82.8
Ret_96,0.0,6,1.0830217936810964,1.4058325524166724,18.0
Ret_96,84.75,6,1.1902392476184385,1.5014372832681653,78.2
Ret_96,69.5,6,1.2355645115428735,1.3298254647208305,26.700000000000003
Ret_96,8.375,6,1.0634789862339749,1.3843106214514058,34.5
Ret_96,0.0,6,1.0263532863329157,1.4258676016621248,62.8
Ret_96,0.0,6,1.0636644704403775,1.4604589680532671,77.2
Ret_72,0.0,6,1.0578577918253,1.2923510923494181,16.400000000000002
Ret_96,0.0,6,1.0647849063936585,1.5072509007363388,85.3
Ret_96,71.75,6,1.1267857534848138,1.3514342844866711,19.400000000000002
Ret_72,76.625,6,1.0954602872196062,1.1030164536084368,2.7
Ret_96,0.0,6,1.0592376488188437,1.432351085983342,55.2
Ret_96,35.75,6,1.1078073150201841,1.2984958141228644,27.3
Ret_96,73.0,6,1.1015380603413507,1.3047940504139781,3.5000000000000004
Ret_96,0.0,6,1.0867502371559918,1.3310549249795858,7.000000000000001
Ret_96,71.5,6,1.1753828339847705,1.3272512559199532,23.599999999999998
Ret_96,0.0,6,1.0530895798291382,1.3991484443783957,34.0
Ret_96,0.0,6,1.0530895798291382,1.3991484443783957,36.3
Ret_96,34.375,6,1.1701199852475686,1.3554850456480276,24.2
Ret_96,20.125,6,1.0482966595053076,1.2098675672776766,12.3
Ret_96,66.625,6,1.1159332151965495,1.2906957525556018,16.3
Ret_96,63.0,6,1.101272202733882,1.694176046375218,91.0
Ret_96,5.25,6,1.0529427755021485,1.4410791826542628,56.39999999999999
Ret_96,0.0,6,1.0530895798291382,1.3991484443783957,34.300000000000004
Ret_96,25.75,6,1.0653750762287066,1.3169552259775748,20.5
Ret_96,11.0,6,1.0539631227338973,1.4032308846812291,50.6
Ret_72,32.75,6,1.041490500437525,1.2993971095691612,26.8
Ret_96,0.0,6,1.0530895798291382,1.3991484443783957,35.199999999999996
Ret_96,0.0,6,1.0615407692405676,1.4114419572336308,29.799999999999997
Ret_72,49.5,6,1.0586765791629624,1.3735364869092483,53.0
Ret_96,38.5,6,1.1448694676262468,1.2961968778894053,5.4
Ret_96,0.0,6,1.0810013460458128,1.3733832880290375,16.400000000000002
Ret_96,0.0,6,1.0498187364266391,1.3582285336201034,5.0
Ret_96,14.875,6,1.07155644172396,1.2887023592285929,18.7
Ret_96,0.0,6,1.0530895798291382,1.3991484443783957,33.800000000000004
Ret_72,44.875,6,1.06506697965918,1.3175762013146213,35.199999999999996
Ret_96,0.0,6,1.0530895798291382,1.3991484443783957,36.8
Ret_96,0.0,6,1.0488132133483148,1.4556530502780307,83.0
Ret_72,78.625,6,1.1427166493373044,1.3210630941283346,41.699999999999996
Ret_96,45.375,6,1.059335257570247,1.8904370150554974,95.1
Ret_96,21.5,6,1.0777720914271267,1.347554923253689,17.4
Ret_96,0.0,6,1.050758551243058,1.3255423824895014,2.1999999999999997
Ret_96,69.875,6,1.1778487356265368,1.365697604550457,43.4
Ret_96,15.375,6,1.0587082737616107,1.2925225384099457,1.4000000000000001
Ret_96,63.0,6,1.1232740823873333,1.5742407875536164,75.6
Ret_72,22.0,5,1.0864571523613256,1.4881784425629754,79.60000000000001
Ret_96,63.25,6,1.1000564515451146,1.2245904973506632,11.200000000000001
Ret_96,39.125,6,1.1122194142408461,1.38860068467347,36.3
Ret_72,33.875,6,1.112545301481103,1.3155850053172753,51.1
Ret_96,0.0,6,1.0621397797360324,1.3774118161050848,29.5
Ret_96,38.625,6,1.13192298924771,1.4023722152248894,29.099999999999998
Ret_96,33.0,6,1.0750883697102243,1.415365167139096,57.099999999999994
Ret_96,27.500000000000004,6,1.109660818918233,1.294820517639878,12.0
Ret_96,14.875,6,1.065063925802334,1.4697124882219919,68.4
Ret_96,34.5,6,1.0994425450158127,1.4491653545178933,76.9
Ret_96,0.0,6,1.061269339606947,1.4595915872562533,68.8
Ret_72,49.5,6,1.0586765791629624,1.3735364869092483,51.9
Ret_96,60.75,6,1.0788428944425743,1.313710062553058,28.799999999999997
Ret_72,48.5,6,1.1319332142600889,1.0444022191098945,12.8
Ret_96,0.0,6,1.057465962640351,1.4707623088854462,67.5
Ret_48,38.625,4,1.0908433154822483,1.1448269015251646,31.0
Ret_96,5.25,6,1.0529427755021485,1.4410791826542628,56.8
Ret_72,39.625,6,1.0681067906875914,1.3258190731988366,42.199999999999996
Ret_96,0.0,6,1.0530895798291382,1.3991484443783957,34.0
Ret_96,0.0,6,1.0896511539399527,1.496839430313592,71.89999999999999
Ret_96,34.75,6,1.1175379341293552,1.3684667144944036,6.3
Ret_96,43.125,6,1.1214384541514297,1.2876509967939174,17.299999999999997
Ret_96,0.0,6,1.0530895798291382,1.3991484443783957,33.5
Ret_96,25.25,6,1.0813355723041338,1.3418980350636254,5.1
Ret_96,28.499999999999996,6,1.0705617029112995,1.407735406927818,53.0
Ret_96,34.75,6,1.1175379341293552,1.3684667144944036,6.800000000000001
Ret_96,0.0,6,1.0530895798291382,1.3991484443783957,37.0
Ret_72,53.75,6,1.1094218292096056,1.3299973763832034,35.6
Ret_72,73.375,6,1.154026899378667,1.4029609877979683,66.5
SINTETICA_REVERSE,0.0,6,1.0512947421225658,1.3417671097314352,90.4
Ret_96,71.0,6,1.2186682887743054,1.6512942311326069,83.7
Ret_96,68.75,6,1.0771793429303322,1.2048246638545195,6.0
Ret_96,36.875,6,1.1011258488082971,1.4491653545178933,79.10000000000001
Ret_96,32.5,6,1.119959178101405,1.3426321424823888,32.2
Ret_96,58.625,6,1.0382345974295115,1.4126946664364461,53.1
Ret_96,0.0,6,1.0826660578537524,1.3297070690051758,0.0
Ret_72,36.375,6,1.0711970833059092,1.2375223927427825,17.0
Ret_96,37.0,6,1.0610759280221334,1.4384344683587882,63.800000000000004
Ret_48,32.625,6,1.073203935136132,1.1350011794869328,27.3
Ret_96,52.625,6,1.096164492613556,1.7732217833512205,96.6
Ret_96,0.0,6,1.063684298928139,1.4570190491820774,54.6
Ret_72,0.0,6,1.0299750072356175,1.311979958710061,11.1
Ret_96,0.0,6,1.0530895798291382,1.3991484443783957,34.9
Ret_96,0.0,6,1.0809032652613537,1.4249495525140754,43.0
Ret_96,39.75,6,1.0890010865707425,1.3778552040957006,35.8
Ret_96,0.0,6,1.0661765838377648,1.4003495007982347,27.6
Ret_96,24.125,6,1.1015371279502524,1.4609351268512607,60.199999999999996
Ret_96,47.75,6,1.0835874073946072,1.34914042283558,6.800000000000001
Ret_96,53.25,6,1.020093254226397,1.8059028166988247,97.8
Ret_96,71.125,6,1.1835885772151393,1.3039421717801765,14.6
Ret_72,32.375,6,1.1018809756079029,1.3516422150412544,58.099999999999994
Ret_96,19.875,6,1.0590996494912162,1.1474003277881217,10.4
Ret_96,31.75,6,1.0939546937161968,1.3136413342852848,12.5
Ret_96,0.0,6,1.0530895798291382,1.3991484443783957,36.199999999999996
Ret_96,2.875,6,1.0634578855493937,1.4096842836558905,48.0
Ret_96,0.0,6,1.0530895798291382,1.3991484443783957,34.300000000000004
Ret_96,65.75,6,1.1683066396279478,1.404506082497145,39.1
Ret_72,16.375,6,1.0384286855674534,1.5201351321412235,76.7
Ret_96,62.375,6,1.158027022895029,1.7729122516201017,97.8
Ret_96,0.0,6,1.0729377908225295,1.4515763980884886,48.8
